会社名,事業所コード,施設名,指定番号,郵便番号,開設日,住所,開設年数,住所（建物名）,建物構造,電話番号,建物階数,FAX番号,居室数,フリーダイヤル,内SS数,メールアドレス,定員数,URL,サービス種類,サービス有効期限,土地所有区分,敷地面積（㎡数）,敷地面積（坪数）,敷地内駐車場台数,購入金額,坪単価,家賃,契約期間,自動更新の有無,契約年数,土地備考,土地管理会社名,土地管理会社郵便番号,土地管理会社住所,土地管理会社住所（建物名）,土地管理会社電話番号,土地管理会社FAX番号,土地管理会社メールアドレス,土地管理会社URL,土地管理会社備考,土地オーナー氏名,土地オーナー郵便番号,土地オーナー住所,土地オーナー住所（建物名）,土地オーナー電話番号,土地オーナーFAX番号,土地オーナーメールアドレス,土地オーナーURL,土地オーナー備考,建物所有区分,建築面積（㎡数）,建築面積（坪数）,竣工日,延床面積（㎡数）,延べ床面積（坪数）,築年数,建築費用,坪単価,耐用年数,建設協力金,建物家賃,建物契約年数,建物契約開始日,建物契約終了日,建物自動更新の有無,施工会社,施工会社連絡先,定期調査会社,調査日,建物備考,建物管理会社名,建物管理会社電話番号,建物管理会社メールアドレス,建物オーナー氏名,建物オーナー電話番号,建物オーナーメールアドレス,電力会社,電気保安管理業者,電気保守点検実施日,PAS有無,PAS更新年月日,キュービクル有無,キュービクルメーカー,キュービクル年式,非常用発電機有無,非常用発電機メーカー,非常用発電機年式,電気設備備考,水道契約会社,受水槽清掃業者,受水槽清掃実施日,浴槽循環方式,ろ過器設置の有無,ろ過器メーカー,ろ過器年式,受水槽設置の有無,受水槽メーカー,受水槽年式,加圧ポンプメーカー,加圧ポンプ年式,浄化槽設置の有無,浄化槽メーカー,浄化槽年式,浄化槽点検・清掃業者,浄化槽点検・清掃実施日,レジオネラ検査実施日,レジオネラ検査結果（初回）,レジオネラ検査結果（2回目）,水道設備備考,ガス会社,ガス保安管理業者,ガス保守点検実施日,ガス設備備考,エレベーター有無,エレベーターメーカー,エレベーター年式,エレベーター保守会社,エレベーター保守実施日,エレベーター設備備考,空調設備_フロンガス点検業者,空調設備_点検実施日,空調設備_点検対象機器,空調設備_備考,照明設備_メーカー,照明設備_更新日,照明設備_保証期間,照明設備_備考,防犯カメラ管理業者,防犯カメラ年式,防犯カメラ備考,電子錠管理業者,電子錠年式,電子錠備考,防火管理者,消防訓練実施日,消防設備点検業者,消防設備点検実施日,防災実地訓練実施日,防災起動訓練実施日,防災備考,引き渡し図面備考,図面備考,外装_防水_施工日,外装_防水_施工会社,外装_防水_担当者,外装_防水_連絡先,外装_防水_備考,外装_防水_特記事項,外装_塗装_施工日,外装_塗装_施工会社,外装_塗装_担当者,外装_塗装_連絡先,外装_塗装_備考,外装_塗装_特記事項,内装リニューアル_リニューアル日,内装リニューアル_会社名,内装リニューアル_担当者,内装リニューアル_連絡先,内装リニューアル_特記事項,内装・意匠履歴_全データ,その他_改修工事履歴_全データ,その他契約書_会社名,その他契約書_契約書の種類,その他契約書_契約内容,その他契約書_自動更新の有無,その他契約書_自動更新詳細,その他契約書_契約開始日,その他契約書_契約終了日,その他契約書_金額,その他契約書_備考,給食契約書_会社名,給食契約書_契約書の種類,給食契約書_契約内容,給食契約書_自動更新の有無,給食契約書_契約開始日,給食契約書_契約終了日,給食契約書_金額,給食契約書_備考,駐車場契約書_会社名,駐車場契約書_契約書の種類,駐車場契約書_契約内容,駐車場契約書_自動更新の有無,駐車場契約書_契約開始日,駐車場契約書_契約終了日,駐車場契約書_金額,駐車場契約書_台数,駐車場契約書_備考
株式会社シダー,10901,"あおぞらの里 御幸ヶ原デイサービスセンター",1071200901,,,,,,,,,,,,,,,,,,賃貸,706.06,213.57,26,,,155015,"2024年8月24日 ～ 2026年8月24日",,2年,賃貸契約による運営。,株式会社不動産管理センター,508-6594,"59809 White Meadow
Joeyfort, HI 50185-1348",□□プラザ3F,036-771-5656,06-0962-2781,office@realestate-service.jp,,24時間対応可能な管理体制を整備。緊急時の連絡先も明確化されている。,"Mateo Crooks",223-8699,"6978 Johns Freeway
Evanschester, TN 65179",,06-050-6171,059-404-4537,noemi37@example.net,,長期保有を前提とした安定的な賃貸経営を志向。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,これはテスト用の備考です。,2024-02-29,株式会社山田工務店,,+1-820-891-4990,"Quo beatae dolor repellat ab provident veritatis et mollitia culpa sed sit.",,,,,,,,,,,,,"[NO:456|日付:2025-06-20|会社:佐藤建設|金額:|内容:床材変更工事|担当:佐藤次郎|連絡先:+15166561370|備考:|特記事項:] / [NO:454|日付:2024-12-24|会社:|金額:362,871|内容:壁紙張替え工事|担当:|連絡先:+1.256.926.9331|備考:|特記事項:] / [NO:1449|日付:2024-10-10|会社:テスト施工会社|金額:500,000|内容:テスト内装・意匠工事|担当:テスト担当者|連絡先:03-1234-5678|備考:テスト備考|特記事項:テスト特記事項] / [NO:455|日付:2024-10-07|会社:高橋塗装|金額:880,875|内容:床材変更工事|担当:|連絡先:|備考:Adipisci omnis est necessitatibus iure vero ipsum sunt libero omnis vel.|特記事項:]","[NO:459|日付:2025-04-19|会社:佐藤建設|金額:|内容:壁面改修工事|担当:伊藤正男|連絡先:|備考:|特記事項:] / [NO:458|日付:2025-01-24|会社:渡辺リフォーム|金額:178,740|内容:換気扇清掃|担当:佐藤次郎|連絡先:+18022916189|備考:|特記事項:] / [NO:457|日付:2024-04-24|会社:小林電設|金額:861,970|内容:電気設備点検|担当:佐藤次郎|連絡先:(320) 533-6672|備考:|特記事項:] / [NO:460|日付:2024-03-20|会社:|金額:725,770|内容:エアコン修理|担当:高橋健一|連絡先:+1.681.844.5501|備考:|特記事項:]"
株式会社シダー,11201,"あおぞらの里 八千代デイサービスセンター",1171200201,,,,,,,,,,,,,,,,,,賃貸,740.00,223.84,22,,,413820,"2024年11月20日 ～ 2027年11月20日",,3年,賃貸契約による運営。,有限会社プロパティマネジメント,807-4790,"7271 Liliane Manor
Hallieton, WA 66546-3199",□□プラザ3F,067-76-8807,072-231-9800,office@property.co.jp,https://www.realestate-pro.co.jp,月次報告書の提出あり。建物の維持管理状況を定期的に報告。,"Prof. Julianne Kulas MD",577-7748,"82075 Augusta Alley Suite 006
Lexieview, WI 41108-5299",マンション○○号室,0020-916-8417,0297-2767-1735,pouros.vicenta@example.net,,不動産投資の一環として複数物件を所有・運営。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20,小林電設,,,"Eos quae ut sunt aut sequi deserunt officia reprehenderit suscipit repellendus fugit esse et ut inventore iure harum.","Temporibus quod tenetur voluptatem cum animi laboriosam ullam id voluptas.",,,,,,,2025-06-01,,佐藤次郎,,,"[NO:463|日付:2024-08-23|会社:|金額:|内容:壁面改修工事|担当:|連絡先:|備考:Est sit qui provident adipisci consequuntur perferendis omnis impedit ullam tempora et aliquam asperiores nam fuga possimus eius ut error.|特記事項:Eveniet blanditiis iste cupiditate qui sunt explicabo id saepe error fugiat voluptatem.] / [NO:464|日付:2024-08-15|会社:|金額:248,900|内容:内装リニューアル工事|担当:山田太郎|連絡先:+18303122424|備考:Illo magni ab excepturi aut a aliquid ex consequatur dolore recusandae sequi soluta sapiente quia.|特記事項:]","[NO:469|日付:2025-08-21|会社:小林電設|金額:125,416|内容:給湯器交換|担当:渡辺由美|連絡先:(443) 202-8826|備考:|特記事項:] / [NO:470|日付:2024-08-07|会社:|金額:|内容:エアコン修理|担当:山田太郎|連絡先:|備考:Dolorum in quo minus provident distinctio aut necessitatibus impedit aut.|特記事項:] / [NO:471|日付:2024-05-16|会社:|金額:429,613|内容:水道管修理|担当:山田太郎|連絡先:+15733623701|備考:Vel quo sed eaque quo eos temporibus accusantium qui eos quis delectus laborum perspiciatis.|特記事項:] / [NO:468|日付:2024-03-20|会社:伊藤工業|金額:328,033|内容:電気設備点検|担当:鈴木美咲|連絡先:+1-941-594-5585|備考:|特記事項:] / [NO:467|日付:2024-01-31|会社:小林電設|金額:481,873|内容:水道管修理|担当:高橋健一|連絡先:724.881.1502|備考:Quidem voluptas est suscipit mollitia tempora eligendi ratione consequatur quia.|特記事項:] / [NO:466|日付:2024-01-28|会社:伊藤工業|金額:908,156|内容:電気設備点検|担当:渡辺由美|連絡先:|備考:|特記事項:Dolore iusto qui tenetur adipisci nam eveniet necessitatibus et consectetur architecto.]"
株式会社シダー,11211,"あおぞらの里 薬円台デイサービスセンター",1171200211,,,,,,,,,,,,,,,,,,賃貸,1919.53,580.62,28,,,472936,"2024年6月11日 ～ 2025年6月11日",,1年,賃貸契約による運営。近隣に公共交通機関あり、アクセス良好。周辺環境は住宅地で静穏。,株式会社長谷工リアルエステート,746-8174,"49671 Serenity Throughway
Adelechester, MI 68229-6136",ビジネスセンター8階,0588-00-7321,0235-9370-9068,management@property-mgmt.co.jp,https://www.management-company.com,設備故障時の迅速な対応体制が整っており、信頼性が高い。,"Monique Boehm I",158-7992,"6790 Roob Union Apt. 111
South Lela, NM 44824",△△ハイツ□□号,048-35-3702,,lafayette17@example.com,http://www.kuhic.biz/id-sunt-quidem-cumque-sapiente-ipsa,長期保有を前提とした安定的な賃貸経営を志向。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-12,,小林大輔,"(806) 803-8516","Rem sint laudantium porro at deleniti id numquam sint sunt voluptatem quod atque voluptas voluptate ut molestiae.","Aliquid voluptatem quam et mollitia aspernatur voluptas neque sit.",2025-05-14,渡辺リフォーム,伊藤正男,"+1 (404) 451-9627",,,2024-10-12,高橋塗装,山田太郎,,"Modi voluptatibus numquam explicabo quod exercitationem eum laborum.",[NO:478|日付:2023-11-12|会社:中村建築|金額:|内容:照明設備更新|担当:渡辺由美|連絡先:715.639.1236|備考:|特記事項:],"[NO:481|日付:2025-07-20|会社:|金額:|内容:換気扇清掃|担当:|連絡先:1-270-665-6861|備考:Molestiae magnam sed fugit qui vel voluptatem ut debitis eos optio fuga eveniet incidunt magnam nam voluptas et nesciunt.|特記事項:] / [NO:479|日付:2024-12-29|会社:|金額:789,312|内容:外壁防水工事|担当:|連絡先:651-822-6415|備考:Officia in iure consequuntur voluptatem officiis accusamus saepe sed impedit.|特記事項:Quasi distinctio molestias natus corporis aperiam sit.] / [NO:480|日付:2024-05-24|会社:鈴木設備|金額:258,753|内容:エアコン修理|担当:小林大輔|連絡先:|備考:|特記事項:Tempora laboriosam quis quibusdam vero dolorem maxime dolores voluptate est omnis est.] / [NO:482|日付:2023-12-14|会社:|金額:242,248|内容:屋根塗装工事|担当:加藤真理|連絡先:+1 (740) 317-8259|備考:|特記事項:Soluta quaerat ullam aut unde vel asperiores est est pariatur atque.]"
株式会社シダー,11221,"あおぞらの里 花見川デイサービスセンター",1171200221,,,,,,,,,,,,,,,,,,owned_rental,1558.32,471.36,28,57026076,120982,280686,"2025年7月23日 ～ 2030年7月23日",,5年,自社所有物件を第三者に賃貸。賃料収入による安定的な収益確保。,,,,,,,,,,社会福祉法人みらい,768-8835,"36870 Heidi Corners
South Corinemouth, DC 88877",□□オフィス,0239-45-4802,04-70-5738,info@medical.co.jp,https://www.healthcare-service.jp,契約更新時の条件交渉においても誠実な対応を心がけている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-12,田中電気工事,鈴木美咲,+1.608.345.8339,,"Provident laudantium enim illo qui ullam neque.",2024-12-24,田中電気工事,,669.380.3629,,"[NO:486|日付:2023-11-08|会社:中村建築|金額:362,474|内容:天井改修工事|担当:|連絡先:(743) 437-5227|備考:|特記事項:]","[NO:487|日付:2025-05-26|会社:佐藤建設|金額:754,464|内容:エアコン修理|担当:|連絡先:|備考:|特記事項:] / [NO:490|日付:2025-03-12|会社:鈴木設備|金額:|内容:フロア改修工事|担当:|連絡先:|備考:Quod eos autem repellendus voluptas quaerat id voluptatem delectus dicta recusandae est qui debitis voluptatibus aut non eos occaecati.|特記事項:] / [NO:489|日付:2025-01-26|会社:高橋塗装|金額:|内容:防錆塗装工事|担当:高橋健一|連絡先:1-352-471-9486|備考:|特記事項:] / [NO:491|日付:2024-06-03|会社:|金額:|内容:防錆塗装工事|担当:|連絡先:|備考:|特記事項:] / [NO:488|日付:2024-05-19|会社:|金額:672,578|内容:外壁防水工事|担当:山田太郎|連絡先:(562) 469-7113|備考:|特記事項:]"
株式会社シダー,11231,"あおぞらの里 六高台デイサービスセンター",1171200231,,,,,,,,,,,,,,,,,,賃貸,1597.82,483.31,20,,,372941,"2025年7月11日 ～ 2027年7月11日",,2年,賃貸契約による運営。賃料改定の可能性について定期的に協議。近隣に公共交通機関あり、アクセス良好。,株式会社不動産管理センター,851-4200,"48349 Vidal Fall
Judestad, MO 56061-7688",ビジネスセンター8階,0713-0618-9624,04-731-3058,office@realestate-service.jp,https://www.realestate-pro.co.jp,設備故障時の迅速な対応体制が整っており、信頼性が高い。,"Dr. Jadon Hettinger Jr.",672-3065,"2151 Oberbrunner Hills
Lake Zora, MD 66890",住宅○○,0147-46-8462,,alyson92@example.net,,長期保有を前提とした安定的な賃貸経営を志向。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-08,高橋塗装,,+12819082888,"Rerum ab aut illo dolorem saepe id qui quia enim et.",,2025-04-30,田中電気工事,小林大輔,+1-220-804-0514,,,2025-07-07,高橋塗装,加藤真理,563-646-3689,,,"[NO:499|日付:2025-04-08|会社:加藤住宅設備|金額:317,029|内容:換気扇清掃|担当:|連絡先:1-380-749-1527|備考:Voluptatem alias aliquam qui reprehenderit perferendis necessitatibus eveniet minima consectetur natus quisquam tempora molestiae ea quidem ad.|特記事項:] / [NO:500|日付:2024-05-22|会社:株式会社山田工務店|金額:822,210|内容:地下防水工事|担当:|連絡先:+1-605-792-8175|備考:Quisquam qui non ipsam aut neque at beatae placeat aperiam voluptatem sed molestiae.|特記事項:Et non enim iusto ab est laudantium iusto aliquam.] / [NO:498|日付:2023-11-25|会社:|金額:780,561|内容:外壁塗装工事|担当:渡辺由美|連絡先:563.361.6738|備考:|特記事項:]"
株式会社シダー,11232,"あおぞらの里 馬橋デイサービスセンター",1171200232,,,,,,,,,,,,,,,,,,owned_rental,1482.16,448.32,10,74576239,166346,322563,"2025年2月4日 ～ 2026年2月4日",,1年,自社所有物件を第三者に賃貸。,,,,,,,,,,株式会社メディカルケア,735-6199,"527 Laurie Place
West Aleenmouth, MN 88573-1786",ビジネスプラザ,0347-7899-9752,058-26-4376,contact@medical.co.jp,https://www.senior-life.com,契約更新時の条件交渉においても誠実な対応を心がけている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-25,株式会社山田工務店,,,,,2025-06-04,高橋塗装,,651-283-5930,,,,,,,,"[NO:505|日付:2023-11-13|会社:伊藤工業|金額:231,636|内容:エアコン修理|担当:高橋健一|連絡先:|備考:|特記事項:]","[NO:510|日付:2025-10-06|会社:鈴木設備|金額:27,357|内容:換気扇清掃|担当:|連絡先:(938) 612-5911|備考:Provident quo accusantium et sit voluptatem dolorem debitis qui et eum quibusdam illo nulla quaerat reprehenderit sed ut iure autem corporis.|特記事項:Maxime odio sed accusamus officia voluptates architecto magnam sed facere dolor.] / [NO:506|日付:2025-03-31|会社:中村建築|金額:|内容:壁紙張替え工事|担当:鈴木美咲|連絡先:+1 (830) 935-4125|備考:|特記事項:] / [NO:508|日付:2025-03-10|会社:|金額:878,292|内容:換気扇清掃|担当:|連絡先:|備考:Reprehenderit ea officia omnis sed nostrum sequi beatae aliquam et accusamus accusantium libero.|特記事項:] / [NO:511|日付:2024-10-20|会社:佐藤建設|金額:905,359|内容:鉄部塗装工事|担当:|連絡先:|備考:Est id non vel quia omnis dolorem deleniti accusamus et magnam dolores beatae libero ad cumque aut libero aut sapiente eaque.|特記事項:] / [NO:507|日付:2024-07-24|会社:|金額:|内容:ベランダ防水工事|担当:田中花子|連絡先:586-401-2925|備考:|特記事項:] / [NO:509|日付:2024-04-16|会社:加藤住宅設備|金額:|内容:屋根塗装工事|担当:|連絡先:|備考:Veniam dolor fugit minima quia quibusdam laboriosam quas non quia laboriosam perspiciatis odit impedit aut recusandae.|特記事項:At laborum incidunt molestiae autem dolores id cumque repudiandae quae aut quo sed.]"
株式会社シダー,11241,"あおぞらの里 鎌ケ谷デイサービスセンター",1171200241,,,,,,,,,,,,,,,,,,owned_rental,1131.37,342.22,15,32935595,96241,150483,"2025年6月12日 ～ 2028年6月12日",,3年,自社所有物件を第三者に賃貸。賃料収入による安定的な収益確保。,,,,,,,,,,株式会社ヘルスケアパートナーズ,092-3297,"70561 Gulgowski Harbors
Majorville, CT 92407",企業会館,0275-12-3558,02-05-9009,contact@medical.co.jp,https://www.medical-care.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-29,,山田太郎,1-432-385-1053,,"Mollitia eaque dolor quibusdam optio assumenda fugiat blanditiis quia vel sed exercitationem et.",2025-08-20,,小林大輔,+1.501.639.4191,,"[NO:515|日付:2025-04-03|会社:伊藤工業|金額:55,622|内容:壁面改修工事|担当:伊藤正男|連絡先:|備考:|特記事項:] / [NO:517|日付:2025-02-24|会社:伊藤工業|金額:|内容:防錆塗装工事|担当:渡辺由美|連絡先:740-614-2574|備考:|特記事項:]","[NO:519|日付:2024-12-20|会社:中村建築|金額:366,055|内容:給湯器交換|担当:渡辺由美|連絡先:|備考:Ab blanditiis eos possimus optio delectus aut laboriosam consequuntur consectetur et fuga rerum velit qui provident.|特記事項:] / [NO:518|日付:2024-07-17|会社:加藤住宅設備|金額:|内容:フロア改修工事|担当:山田太郎|連絡先:+1-630-517-7039|備考:|特記事項:] / [NO:522|日付:2024-06-30|会社:佐藤建設|金額:|内容:給湯器交換|担当:鈴木美咲|連絡先:|備考:|特記事項:] / [NO:521|日付:2023-11-20|会社:鈴木設備|金額:617,458|内容:鉄部塗装工事|担当:|連絡先:+1-402-363-4943|備考:|特記事項:] / [NO:520|日付:2023-10-20|会社:渡辺リフォーム|金額:915,465|内容:照明設備更新|担当:小林大輔|連絡先:|備考:Ipsa molestiae eum aut sit exercitationem voluptates praesentium laborum nobis quas et.|特記事項:]"
株式会社シダー,11251,"あおぞらの里 新柏デイサービスセンター",1171200251,,,,,,,,,,,,,,,,,,owned_rental,1159.52,350.73,12,51540475,146952,386463,"2025年3月10日 ～ 2026年3月10日",,1年,自社所有物件を第三者に賃貸。,,,,,,,,,,株式会社シニアライフサポート,054-5193,"2175 Kirlin Pass Apt. 231
Boehmport, HI 28050",ビジネスプラザ,01-6557-2573,07-97-8510,facility@welfare.or.jp,,事業拡大に伴い、長期的な利用を前提とした契約を希望。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-24,高橋塗装,田中花子,,,,2025-08-01,株式会社山田工務店,鈴木美咲,,"Omnis veniam sunt quo possimus ad necessitatibus sit dolorem aperiam consectetur est ipsum recusandae illum occaecati totam culpa itaque aut.","Eaque quo sunt sit qui qui repudiandae autem quia aliquid quis explicabo.",2025-08-04,中村建築,,517.749.2187,,,"[NO:531|日付:2025-10-03|会社:伊藤工業|金額:|内容:照明設備更新|担当:鈴木美咲|連絡先:(508) 887-2364|備考:|特記事項:] / [NO:527|日付:2025-06-13|会社:|金額:|内容:内装デザイン変更|担当:佐藤次郎|連絡先:|備考:|特記事項:Ea dolores ducimus pariatur consequatur commodi laboriosam non.] / [NO:530|日付:2025-06-04|会社:中村建築|金額:|内容:照明器具交換|担当:高橋健一|連絡先:+1 (561) 954-2866|備考:|特記事項:] / [NO:532|日付:2025-01-22|会社:|金額:803,200|内容:水道管修理|担当:小林大輔|連絡先:341.517.8204|備考:|特記事項:] / [NO:529|日付:2024-07-13|会社:株式会社山田工務店|金額:807,087|内容:地下防水工事|担当:山田太郎|連絡先:734.915.4195|備考:Omnis iste possimus veniam officiis ad architecto porro harum nihil pariatur est explicabo quo pariatur delectus animi excepturi tempore consequatur occaecati.|特記事項:Sapiente facilis praesentium recusandae totam dolores qui quisquam esse in nam.] / [NO:528|日付:2024-05-06|会社:|金額:156,353|内容:内装デザイン変更|担当:|連絡先:|備考:|特記事項:Corrupti hic eveniet explicabo voluptas fugit sit quod qui voluptatem voluptates maiores esse quo.]"
株式会社シダー,11301,"あおぞらの里 小松川デイサービスセンター",1171200301,,,,,,,,,,,,,,,,,,賃貸,1034.14,312.81,8,,,300418,"2024年10月17日 ～ 2029年10月17日",,5年,賃貸契約による運営。契約更新時の条件見直し要検討。,東急リバブル株式会社,140-2321,"614 Arno Underpass Suite 156
North Mollymouth, GA 14689",オフィスタワー15階,035-919-5793,007-049-6283,office@management.com,,地域密着型の管理会社として、きめ細かいサービスを提供。,合同会社不動産開発,196-0490,"90873 Jennie Hollow
Effiebury, MN 16370-5196",アパート△△,04-4299-3298,0690-5686-3873,paul32@example.net,http://feil.com/exercitationem-qui-fugit-eligendi-inventore-vitae-recusandae-voluptatem.html,建物の老朽化に伴う大規模修繕の計画を検討中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-16,,伊藤正男,+1-620-757-1418,,"Similique fugit impedit rerum sunt iusto non ut qui tempore molestias tenetur ut.",2024-01-26,高橋塗装,,"+1 (270) 810-2936",,,2024-01-06,佐藤建設,高橋健一,520.348.3103,,"[NO:536|日付:2025-05-15|会社:株式会社山田工務店|金額:143,867|内容:照明設備更新|担当:|連絡先:+1-806-270-8806|備考:Eligendi sunt quisquam saepe et soluta officiis in rem dolore in dolores optio atque et porro odit est nisi.|特記事項:]","[NO:540|日付:2024-08-19|会社:佐藤建設|金額:|内容:照明設備更新|担当:伊藤正男|連絡先:425.828.5487|備考:Nulla provident expedita aliquid iusto fugit illo illum at omnis consectetur nulla ut.|特記事項:] / [NO:541|日付:2024-07-02|会社:|金額:|内容:防錆塗装工事|担当:|連絡先:215-303-7447|備考:|特記事項:] / [NO:538|日付:2024-04-29|会社:伊藤工業|金額:|内容:ドア修理|担当:伊藤正男|連絡先:|備考:|特記事項:] / [NO:543|日付:2024-04-26|会社:|金額:|内容:天井改修工事|担当:山田太郎|連絡先:|備考:|特記事項:Excepturi voluptas eos voluptatem molestias eos nostrum ea.] / [NO:542|日付:2024-02-23|会社:伊藤工業|金額:617,882|内容:照明器具交換|担当:田中花子|連絡先:1-480-615-7615|備考:|特記事項:] / [NO:539|日付:2023-10-12|会社:株式会社山田工務店|金額:466,286|内容:鉄部塗装工事|担当:中村恵子|連絡先:1-270-313-6682|備考:|特記事項:]"
株式会社シダー,11901,"あおぞらの里 甲府デイサービスセンター",1171200901,,,,,,,,,,,,,,,,,,賃貸,1687.97,510.58,11,,,160277,"2025年1月4日 ～ 2030年1月4日",,5年,賃貸契約による運営。契約更新時の条件見直し要検討。,積水ハウス不動産株式会社,360-1101,"61043 Quigley Field
Ernserstad, NE 43037-1655",ビジネスセンター8階,0609-857-1525,05-85-9043,office@management.com,,地域密着型の管理会社として、きめ細かいサービスを提供。,株式会社都市開発,650-7985,"59690 Justen Brook Apt. 961
North Mariahfurt, SD 70170",,028-495-9752,,edison17@example.net,http://www.lesch.com/quia-ullam-molestiae-qui-quis,建物の維持管理に積極的で、定期的な修繕を実施。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-10,佐藤建設,田中花子,+1-252-432-9459,"Cum qui iusto laborum officia delectus dolores qui ut sunt molestias iure.",,2024-09-21,中村建築,,"(305) 857-1849",,"Aspernatur voluptas modi vitae praesentium suscipit nemo.",,,,,,"[NO:547|日付:2024-07-11|会社:高橋塗装|金額:615,287|内容:壁紙張替え工事|担当:佐藤次郎|連絡先:|備考:|特記事項:]","[NO:548|日付:2025-08-18|会社:|金額:642,428|内容:内装デザイン変更|担当:高橋健一|連絡先:|備考:Ducimus nihil aspernatur recusandae amet quam aut voluptatem sed autem velit similique consequuntur.|特記事項:Pariatur totam officia dicta consectetur laboriosam sint laboriosam mollitia dolor voluptates id magni placeat.] / [NO:550|日付:2025-06-06|会社:高橋塗装|金額:|内容:ドア修理|担当:|連絡先:|備考:|特記事項:Ipsa aperiam eum dolores animi odio optio officiis est veritatis.] / [NO:549|日付:2025-04-02|会社:渡辺リフォーム|金額:|内容:外壁塗装工事|担当:|連絡先:786-964-2676|備考:Enim et deleniti est harum voluptatem laboriosam labore veritatis expedita exercitationem laborum.|特記事項:] / [NO:551|日付:2024-10-29|会社:加藤住宅設備|金額:|内容:壁面改修工事|担当:鈴木美咲|連絡先:|備考:|特記事項:]"
